comment,label
Another feminist fantasy revenge movie. Yay.,0
So looking forward to this,0
girllll bossss another rey skywalker.....,0
This movie needs to be played in all HR meetings where all boses/managers are present.,0
"Please don't watch this. It's filled with all kinds of evil, and a portal for demons to get into your mind",0
Irene Adler is back,0
looks like a Misery remake on a desert island.,0
untill 1 month i'm ready i am stay here,0
Castaway with Ben Shapiro,0
Seems a lot like Triangle of Sadness,0
He is so fineeeeee,0
"Those of you going on about,""Triangle of Sadness"" ... Kindly google The Admirable Crichton.",0
Yeah. I like Girl Boss! White man bad! How refreshing .. And brave!!,0
I don’t know who’s right or wrong in this,0
it was fantastic i am thrilled with this trailer,0
"I swear I watch this trailer in the theater, completely bored and uninterested thinking to myself ""oh another badly done modern film with crappy writing"" until I saw ""from Sam Raimi"", I'm not kidding, I audibly said ""I beg your pardon, what?""",0
The king is back.!!!,0
being stuck on a deserted island with any boss is hell,0
Didn’t triangle of sadness already do this?,0
Thank you movie maker for not casting Sweeney.,0
We need another Cillian-Rachel movie,0
they made my celebrity crush look homely. hard pass,0
Who writes this garbage?,0
"A story where the man is a useless idiot and the woman is the saviour. On a desert island lol. Where literally every instance of history disproves that this would ever be the case lol. More woke, identity politics, fake bullshit. The woman would be crying and hysterical and not able to do anything at all. Physically and mentally incapable of being a “saviour” in this situation. Reality shows, history, biological facts and reality has established this unequivocally. Watch survivor. See how the women do alone every single time. Literally every single time.",0
Horrible Bosses meets Misery.,0
Bit of a Rachel fan so will give this one a chance.,0
Cast Away meets Misery. Absolutely stoked for this,0
total miscast on o'brien. looks way too young to play the boss.,0
DYLAN!! with rachel omg!!,0
I’m going to like this movie! 😁😁😁,0
"""Do you know the definition of insanity""",0
Who said that is NOT a romantic comedy? 😂😂😂,0
"My own personal island, sounds great",0
"Oh boy! Another girl boss movie. How fun. Woman are strong and don't need no man! lol. Okay, I watched the whole thing. It peaked my interest. The horror twist might make it alright.",0
"100% fantasy. They did test women and men on a deserted island. Men did fine, the women almost deleted twice in a few weeks.",0
Chill out incel,0
Chill out it’s only a movie,0
"You need help if you want to go see this, and I'm a fan of both of these actors.",0
"Send help!!!!! but not for me, ahh trailer",0
it's like another version of the last chapter of triangle of sadness,0
Is Dylan over acting to anyone else? Let's reconvene when the movie comes out.,0
Even the trailer is horrifying man😬,0
I'm guessing she had fun with this character as she didn’t have to look glamourized and perfect all of the time like The Notebook.,0
I’ve met Rachel in person and she is stunning.,0
I absolutely love revenge stories.,0
now this is amazing,0
I'm foolishly excited to see the movie even though I totally know the plot,0
"I hope she wins her vengeance, hahaha",0
"Oh, why am I on her side?",0
I thought that was Rebecca Hall,0
Not a fan of all the new 'messed up in the head' movies coming out.,0
"Can't wait for those Jesterbell videos on this film, saying that this is a girlboss movie on steroids. NOT!",0
"Lord, I hope she kills him and then gets rescued😃",0
"we should do ""Get Help"" next..",0
This may be the first movie since Spiderman I think I will go watch in theaters,0
I'd have taken him out and acted like the crash did it.,0
I love Dylan O'brien i think hes an underrated actor so I'll definitely be watching this,0
"I don't understand the point? Of course I'm with Rachael McAdams. She could be a literal psychopath, but that guy would be the bigger psychopath still. It's going to be annoying if the movie shows him as somehow a good guy and she as deranged. These CEOs are literally vultures that feed off the planet irl",0
Watching for the survival skills.,0
Oh great yet another girl boss film no thanks,0
Misery meets Castaway,0
I haven't seen Rachel MacAdams in years- a wonderful actress.,0
"Misery…Tropical Style…oh,ok",0
"1:29 We’re not in the office anymore, Bradley. 10/10 line",0
2:00 Dylan is really a great actor,0
